person_id,tracking_trail_points,start_point,end_point
1,"[(219.97677612304688, 1009.8780517578125), (220.00807189941406, 1010.2960815429688), (220.16305541992188, 1011.6356201171875), (221.3005828857422, 1013.4752197265625), (220.69210815429688, 1015.4102172851562), (221.2189178466797, 1016.803466796875), (221.891357421875, 1018.5051879882812), (223.24777221679688, 1019.3995361328125), (223.68441772460938, 1022.7744140625), (225.3927001953125, 1023.9896850585938), (227.7744140625, 1026.417236328125), (229.25205993652344, 1027.068603515625), (230.73439025878906, 1028.366455078125), (231.47634887695312, 1028.491943359375), (233.23114013671875, 1031.0709228515625), (224.9612579345703, 1031.5279541015625), (233.28897094726562, 1033.635498046875), (235.42813110351562, 1034.87939453125), (229.53372192382812, 1035.46826171875), (235.31402587890625, 1037.139892578125), (238.0289306640625, 1039.656982421875), (229.5753173828125, 1040.669677734375), (227.02642822265625, 1041.712158203125), (224.9703826904297, 1042.888427734375), (223.91476440429688, 1046.537353515625), (217.64743041992188, 1053.2060546875), (216.3731689453125, 1055.791748046875), (221.93609619140625, 1057.602294921875), (227.02139282226562, 1059.730712890625), (229.20835876464844, 1061.75341796875)]","(219.97677612304688, 1009.8780517578125)","(229.20835876464844, 1061.75341796875)"
2,"[(707.0872192382812, 82.30923461914062), (707.4322509765625, 80.70458984375), (707.3067626953125, 80.54718780517578), (707.7529907226562, 80.34247589111328), (707.3812255859375, 80.42498016357422), (707.3948974609375, 78.7984619140625), (707.3900146484375, 77.11148071289062), (707.64208984375, 76.02745819091797), (707.9695434570312, 73.25904846191406), (708.2607421875, 71.29385375976562), (708.205078125, 67.37643432617188), (708.06298828125, 64.20018005371094), (708.15966796875, 62.31257247924805), (707.8546142578125, 61.23063278198242), (708.0576782226562, 60.94850158691406), (708.327880859375, 60.8626594543457), (708.27783203125, 61.03468322753906), (707.989990234375, 60.700252532958984), (707.66796875, 59.87344741821289), (707.5347900390625, 59.4926872253418), (707.908447265625, 58.45298767089844), (707.5948486328125, 56.19458770751953), (707.456298828125, 54.26116180419922), (707.40478515625, 53.0385627746582), (707.7005004882812, 51.3869743347168), (709.0103759765625, 50.19464111328125), (709.8623046875, 48.29198455810547), (709.5208740234375, 48.22011947631836), (709.4252319335938, 47.949790954589844), (709.934814453125, 48.195255279541016)]","(707.0872192382812, 82.30923461914062)","(709.934814453125, 48.195255279541016)"
3,"[(1052.385498046875, 999.4295654296875), (1049.73291015625, 1001.2564697265625), (1043.6573486328125, 1003.6397705078125), (1038.8988037109375, 1005.476806640625), (1035.7833251953125, 1006.9281005859375), (1033.08642578125, 1008.5926513671875), (1029.350341796875, 1011.427734375), (1025.121826171875, 1014.4244384765625), (1022.93701171875, 1016.1981201171875), (1021.166259765625, 1018.7352294921875), (1021.2695922851562, 1021.20849609375), (1020.993896484375, 1023.5111083984375), (1020.3128051757812, 1027.634033203125), (1021.074462890625, 1030.87744140625), (1020.4577026367188, 1033.361083984375), (1017.9628295898438, 1036.4986572265625), (1016.452880859375, 1039.2579345703125), (1012.7744140625, 1042.835205078125), (1010.9605712890625, 1044.634033203125), (1008.8887939453125, 1046.83544921875), (1008.1115112304688, 1048.6171875), (1006.9022827148438, 1050.5684814453125), (1002.6873168945312, 1054.2939453125), (1000.5938720703125, 1056.61181640625), (997.9879150390625, 1058.651611328125), (996.5081787109375, 1061.21142578125), (995.2091064453125, 1064.302734375), (995.4567260742188, 1067.9510498046875), (988.790771484375, 1071.501220703125), (986.07421875, 1073.725341796875)]","(1052.385498046875, 999.4295654296875)","(986.07421875, 1073.725341796875)"
4,"[(1698.787841796875, 963.18310546875), (1702.167724609375, 965.63525390625), (1706.099853515625, 967.8582763671875), (1711.260986328125, 971.60009765625), (1715.4384765625, 974.5499267578125), (1717.739013671875, 979.3443603515625), (1719.6029052734375, 985.1861572265625), (1720.5972900390625, 988.3614501953125), (1723.19580078125, 994.8238525390625), (1724.586669921875, 997.5936279296875), (1726.434326171875, 999.6456909179688), (1728.930419921875, 1002.3839111328125), (1731.19775390625, 1005.633056640625), (1733.9368896484375, 1010.6723022460938), (1736.298583984375, 1013.7263793945312), (1738.0909423828125, 1015.7520751953125), (1740.5760498046875, 1017.8367309570312), (1743.24365234375, 1019.859375), (1746.557861328125, 1025.862060546875), (1749.35791015625, 1029.9879150390625), (1752.1170654296875, 1033.07080078125), (1754.660400390625, 1036.53173828125), (1757.3681640625, 1040.6566162109375), (1763.45361328125, 1045.2169189453125), (1768.253173828125, 1048.1072998046875), (1772.637939453125, 1050.9384765625), (1777.331298828125, 1053.640869140625), (1781.91455078125, 1056.12646484375), (1784.076171875, 1060.60791015625), (1795.25634765625, 1064.5987548828125)]","(1698.787841796875, 963.18310546875)","(1795.25634765625, 1064.5987548828125)"
5,"[(1065.2724609375, 68.29336547851562), (1064.87109375, 67.52498626708984), (1064.021484375, 66.38041687011719), (1063.614013671875, 64.79393768310547), (1063.44580078125, 63.86283874511719), (1063.075439453125, 61.67116165161133), (1063.2200927734375, 59.3096923828125), (1063.0272216796875, 56.38087844848633), (1063.26708984375, 49.81003189086914), (1063.5853271484375, 41.89595413208008), (1063.45849609375, 40.76851272583008), (1063.02880859375, 38.95661926269531), (1062.7896728515625, 45.151611328125), (1062.351806640625, 48.19425964355469), (1061.43408203125, 49.2015266418457), (1060.593017578125, 45.69383239746094), (1060.38134765625, 45.634361267089844), (1059.624267578125, 45.69441223144531), (1058.955322265625, 45.069156646728516), (1058.670654296875, 42.42921829223633), (1058.216796875, 38.255897521972656), (1057.70556640625, 38.61991500854492), (1055.77490234375, 41.2820930480957), (1056.05859375, 40.16913604736328), (1056.27099609375, 38.64567565917969), (1054.945068359375, 37.83500289916992), (1054.1083984375, 37.91502380371094), (1054.587158203125, 37.70699691772461), (1054.77197265625, 37.44976043701172), (1054.331298828125, 38.25301742553711)]","(1065.2724609375, 68.29336547851562)","(1054.331298828125, 38.25301742553711)"
6,"[(1293.485107421875, 44.4036750793457), (1293.0072021484375, 44.903446197509766), (1292.932861328125, 44.227970123291016), (1292.7642822265625, 44.42790222167969), (1293.12548828125, 43.5675048828125), (1292.898193359375, 41.916221618652344), (1293.192138671875, 40.57411193847656), (1294.947998046875, 38.60091781616211), (1295.5997314453125, 37.107112884521484), (1296.65625, 36.59215545654297), (1297.699951171875, 36.42820358276367), (1298.824951171875, 36.385623931884766), (1298.2457275390625, 36.71183776855469), (1298.2955322265625, 36.90348815917969), (1298.692626953125, 36.844451904296875), (1299.22412109375, 36.27892303466797), (1300.01904296875, 36.299537658691406), (1301.2489013671875, 34.47544860839844), (1302.0211181640625, 32.84772872924805), (1302.3875732421875, 31.73981475830078), (1302.414794921875, 31.370710372924805), (1302.4271240234375, 30.712478637695312), (1301.556396484375, 30.566713333129883), (1301.3056640625, 30.89914321899414), (1300.879150390625, 31.203937530517578), (1300.0673828125, 30.441272735595703), (1299.917724609375, 30.578275680541992), (1299.8388671875, 29.90928077697754), (1299.404296875, 29.25706672668457), (1298.6485595703125, 27.65367317199707)]","(1293.485107421875, 44.4036750793457)","(1298.6485595703125, 27.65367317199707)"
7,"[(745.5518798828125, 54.86455154418945), (746.3093872070312, 54.01392364501953), (747.056884765625, 53.10238265991211), (746.2700805664062, 51.882564544677734), (745.5328369140625, 51.22036361694336), (744.86376953125, 50.797367095947266), (744.4744262695312, 50.5711555480957), (743.74365234375, 50.742923736572266), (743.62548828125, 50.65635299682617), (743.991455078125, 50.49831008911133), (744.3870239257812, 50.52753829956055), (744.7103271484375, 50.27949523925781), (744.5537109375, 49.32544708251953), (744.988525390625, 47.0837287902832), (745.4099731445312, 45.143470764160156), (745.599609375, 43.13175582885742), (746.2032470703125, 42.304229736328125), (747.610107421875, 41.69227600097656), (749.072021484375, 41.29924774169922), (749.3729248046875, 41.24140930175781), (749.8843994140625, 41.2747917175293), (749.93359375, 40.79987716674805), (750.4379272460938, 40.54426956176758), (751.6209716796875, 40.337528228759766), (752.12255859375, 39.47526168823242), (753.7706909179688, 38.267730712890625), (753.79296875, 37.24283981323242), (753.9269409179688, 36.452030181884766), (753.7374267578125, 35.40157699584961), (753.8921508789062, 33.56981658935547)]","(745.5518798828125, 54.86455154418945)","(753.8921508789062, 33.56981658935547)"
8,"[(155.62167358398438, 950.859375), (154.09617614746094, 961.0299072265625), (152.14907836914062, 968.898681640625), (151.05966186523438, 973.6368408203125), (149.0717315673828, 978.632568359375), (147.85208129882812, 982.4837646484375), (145.2700958251953, 985.705078125), (142.51992797851562, 987.632568359375), (143.07080078125, 989.7542724609375), (140.73178100585938, 993.2467041015625), (138.59274291992188, 996.0864868164062), (134.201416015625, 998.072509765625), (131.99285888671875, 999.6021728515625), (128.82940673828125, 1002.7183837890625), (127.212646484375, 1007.8814697265625), (127.38999938964844, 1011.1519775390625), (127.04180145263672, 1015.16455078125), (128.2513427734375, 1018.818603515625), (128.869873046875, 1021.6041259765625), (128.40533447265625, 1027.17333984375), (127.36355590820312, 1030.3466796875), (126.043212890625, 1032.519287109375), (124.16226196289062, 1035.4188232421875), (122.2955322265625, 1037.5987548828125), (116.57862854003906, 1040.52783203125), (114.12089538574219, 1044.017578125), (111.59799194335938, 1047.359130859375), (109.57450103759766, 1050.576904296875), (108.12471771240234, 1054.316650390625), (104.90316009521484, 1061.628173828125)]","(155.62167358398438, 950.859375)","(104.90316009521484, 1061.628173828125)"
9,"[(987.13525390625, 985.157958984375), (987.7202758789062, 986.7784423828125), (988.7557373046875, 989.6139526367188), (990.693603515625, 993.8685302734375), (993.11767578125, 997.473876953125), (994.4235229492188, 1000.3887939453125), (996.0441284179688, 1003.1241455078125), (996.6444091796875, 1004.8428344726562), (999.104736328125, 1009.327880859375), (1002.1021728515625, 1012.8603515625), (1004.7349243164062, 1014.7440185546875), (1006.050537109375, 1016.0201416015625), (1008.012451171875, 1017.497802734375), (1009.8660888671875, 1021.0393676757812), (1010.973876953125, 1022.3511962890625), (1011.4774169921875, 1025.3143310546875), (1011.9132080078125, 1028.138427734375), (1012.245849609375, 1030.275634765625), (1011.1560668945312, 1035.3740234375), (1010.5704345703125, 1039.5943603515625), (1010.2322998046875, 1042.84375), (1009.1585083007812, 1045.5333251953125), (1008.91015625, 1046.977783203125), (1011.334716796875, 1050.7060546875), (1011.4292602539062, 1054.31787109375), (1012.2345581054688, 1056.98291015625), (1017.065185546875, 1059.3974609375), (1013.317626953125, 1061.69189453125), (1012.3349609375, 1068.370849609375), (1012.554931640625, 1071.739013671875)]","(987.13525390625, 985.157958984375)","(1012.554931640625, 1071.739013671875)"
10,"[(1210.2462158203125, 93.80870056152344), (1208.25390625, 90.7378158569336), (1207.4259033203125, 88.54531860351562), (1207.1318359375, 88.14067840576172), (1206.828369140625, 87.54104614257812), (1207.233154296875, 87.45307159423828), (1206.90087890625, 87.03828430175781), (1206.702392578125, 85.78187561035156), (1206.4422607421875, 84.16160583496094), (1206.12548828125, 82.3147201538086), (1206.44384765625, 79.6188735961914), (1206.501953125, 77.42680358886719), (1206.559326171875, 75.00153350830078), (1206.19775390625, 71.47709655761719), (1206.43994140625, 68.52497863769531), (1206.038818359375, 64.90656280517578), (1205.5926513671875, 63.030235290527344), (1205.249267578125, 62.21806716918945), (1204.353515625, 61.72860336303711), (1203.852783203125, 62.64085388183594), (1203.339599609375, 61.856651306152344), (1202.282958984375, 60.82720184326172), (1201.5810546875, 60.21961212158203), (1201.3310546875, 61.19599533081055), (1200.566162109375, 61.3384895324707), (1199.789306640625, 59.416255950927734), (1198.754638671875, 57.88512420654297), (1197.677734375, 56.47193145751953), (1197.367919921875, 55.3498420715332), (1196.2822265625, 54.214752197265625)]","(1210.2462158203125, 93.80870056152344)","(1196.2822265625, 54.214752197265625)"
